CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Município e Especialidade
Período:Fev/2020
"Município";"Cirúrgicos";"Clínicos";"Obstétrico";"Pediátrico";"Outras Especialidades";"Hospital/DIA";"Total"
"110001 Alta Floresta D'Oeste";7;24;9;9;-;-;49
"110037 Alto Alegre dos Parecis";-;8;4;4;-;-;16
"110040 Alto Paraíso";-;12;-;4;-;-;16
"110034 Alvorada D'Oeste";3;16;10;6;-;-;35
"110002 Ariquemes";76;74;35;45;3;7;240
"110045 Buritis";16;15;19;13;1;2;66
"110003 Cabixi";-;4;2;2;1;-;9
"110060 Cacaulândia";-;16;3;7;-;-;26
"110004 Cacoal";136;121;38;65;-;-;360
"110070 Campo Novo de Rondônia";-;12;1;6;-;-;19
"110080 Candeias do Jamari";-;5;5;5;-;-;15
"110090 Castanheiras";-;7;-;-;-;-;7
"110005 Cerejeiras";5;20;8;7;-;-;40
"110092 Chupinguaia";-;6;4;-;-;-;10
"110006 Colorado do Oeste";7;23;7;12;-;1;50
"110007 Corumbiara";-;16;-;-;-;-;16
"110008 Costa Marques";4;30;4;7;-;-;45
"110094 Cujubim";-;8;-;3;-;-;11
"110009 Espigão D'Oeste";10;26;9;9;-;-;54
"110100 Governador Jorge Teixeira";2;9;7;4;-;-;22
"110010 Guajará-Mirim";5;35;25;32;-;-;97
"110110 Itapuã do Oeste";-;10;3;7;-;-;20
"110011 Jaru";13;52;30;20;-;-;115
"110012 Ji-Paraná";78;71;55;40;15;-;259
"110013 Machadinho D'Oeste";10;15;10;6;7;-;48
"110120 Ministro Andreazza";-;10;-;6;-;-;16
"110130 Mirante da Serra";2;14;4;5;-;-;25
"110140 Monte Negro";6;12;8;14;-;-;40
"110014 Nova Brasilândia D'Oeste";5;25;8;6;-;-;44
"110033 Nova Mamoré";-;11;3;6;-;-;20
"110143 Nova União";-;9;3;3;-;-;15
"110050 Novo Horizonte do Oeste";-;13;-;5;-;-;18
"110015 Ouro Preto do Oeste";33;43;22;19;-;-;117
"110145 Parecis";-;6;-;2;-;-;8
"110018 Pimenta Bueno";5;18;24;11;-;-;58
"110146 Pimenteiras do Oeste";-;5;2;2;-;-;9
"110020 Porto Velho";495;784;182;116;108;16;1701
"110025 Presidente Médici";10;22;8;5;-;-;45
"110026 Rio Crespo";-;7;1;1;-;-;9
"110028 Rolim de Moura";7;44;26;14;3;-;94
"110029 Santa Luzia D'Oeste";3;13;4;5;-;-;25
"110148 São Felipe D'Oeste";-;7;-;-;-;-;7
"110149 São Francisco do Guaporé";4;12;8;5;-;-;29
"110032 São Miguel do Guaporé";9;18;9;8;-;-;44
"110150 Seringueiras";10;12;6;8;-;-;36
"110155 Teixeirópolis";-;6;-;3;-;-;9
"110160 Theobroma";-;9;1;3;-;-;13
"110170 Urupá";-;10;10;5;-;-;25
"110175 Vale do Anari";-;8;1;2;1;-;12
"110180 Vale do Paraíso";-;10;2;4;-;-;16
"110030 Vilhena";58;87;30;23;8;-;206
"120001 Acrelândia";-;8;2;4;2;-;16
"120005 Assis Brasil";-;7;2;3;-;-;12
"120010 Brasiléia";4;12;20;4;-;-;40
"120020 Cruzeiro do Sul";48;74;30;18;5;-;175
"120030 Feijó";6;16;12;5;2;-;41
"120032 Jordão";-;7;2;1;-;-;10
"120033 Mâncio Lima";-;11;6;6;2;-;25
"120034 Manoel Urbano";-;16;4;4;2;-;26
"120035 Marechal Thaumaturgo";-;8;3;2;-;-;13
"120038 Plácido de Castro";-;29;9;12;2;-;52
"120039 Porto Walter";-;8;2;4;-;-;14
"120040 Rio Branco";236;307;118;114;99;3;877
"120042 Rodrigues Alves";-;8;2;5;1;-;16
"120043 Santa Rosa do Purus";-;10;2;2;2;-;16
"120050 Sena Madureira";2;24;8;12;4;-;50
"120045 Senador Guiomard";9;12;3;3;2;-;29
"120060 Tarauacá";6;14;12;8;2;-;42
"120070 Xapuri";-;19;4;7;-;-;30
"130002 Alvarães";2;8;8;4;-;-;22
"130006 Amaturá";6;13;5;6;-;-;30
"130008 Anamã";6;6;4;4;-;-;20
"130010 Anori";5;6;6;6;-;-;23
"130014 Apuí";8;16;8;10;-;-;42
"130020 Atalaia do Norte";7;10;8;5;-;-;30
"130030 Autazes";3;12;8;8;-;-;31
"130040 Barcelos";4;12;8;5;1;-;30
"130050 Barreirinha";6;10;8;7;-;-;31
"130060 Benjamin Constant";2;12;15;5;-;3;37
"130063 Beruri";1;2;6;4;-;-;13
"130068 Boa Vista do Ramos";4;8;5;5;-;-;22
"130070 Boca do Acre";2;32;8;18;1;-;61
"130080 Borba";8;10;10;10;-;-;38
"130083 Caapiranga";3;7;4;4;-;-;18
"130090 Canutama";2;7;3;4;-;-;16
"130100 Carauari";6;22;12;10;-;-;50
"130110 Careiro";4;6;5;5;-;-;20
"130120 Coari";15;35;30;25;-;-;105
"130130 Codajás";10;10;14;10;3;-;47
"130140 Eirunepé";11;18;27;20;4;-;80
"130150 Envira";1;10;7;6;-;-;24
"130160 Fonte Boa";6;29;8;15;-;-;58
"130165 Guajará";6;8;4;2;-;-;20
"130170 Humaitá";10;8;10;8;2;-;38
"130180 Ipixuna";3;12;7;4;-;-;26
"130185 Iranduba";15;7;6;4;-;-;32
"130190 Itacoatiara";25;36;25;20;2;-;108
"130195 Itamarati";4;6;2;3;-;-;15
"130200 Itapiranga";3;6;4;5;-;-;18
"130210 Japurá";8;2;5;5;-;-;20
"130220 Juruá";3;7;3;7;-;-;20
"130230 Jutaí";2;8;4;4;-;-;18
"130240 Lábrea";12;13;16;15;-;-;56
"130250 Manacapuru";12;21;23;16;-;-;72
"130255 Manaquiri";2;12;3;3;-;-;20
"130260 Manaus";1075;1042;554;577;62;62;3372
"130270 Manicoré";12;12;26;10;-;-;60
"130280 Maraã";4;5;5;5;-;-;19
"130290 Maués";15;34;26;15;-;-;90
"130300 Nhamundá";2;8;5;4;-;-;19
"130310 Nova Olinda do Norte";4;12;8;6;1;-;31
"130320 Novo Airão";4;4;10;4;-;-;22
"130330 Novo Aripuanã";4;11;8;7;1;-;31
"130340 Parintins";26;35;39;34;1;-;135
"130350 Pauini";4;11;6;5;-;-;26
"130353 Presidente Figueiredo";3;12;7;7;-;-;29
"130356 Rio Preto da Eva";6;8;3;6;6;-;29
"130360 Santa Isabel do Rio Negro";2;8;5;5;-;-;20
"130370 Santo Antônio do Içá";4;38;5;6;-;-;53
"130380 São Gabriel da Cachoeira";17;27;22;20;3;-;89
"130390 São Paulo de Olivença";6;7;6;3;-;-;22
"130395 São Sebastião do Uatumã";3;8;4;5;-;-;20
"130400 Silves";5;7;4;4;-;-;20
"130406 Tabatinga";10;16;15;10;-;-;51
"130410 Tapauá";5;14;11;5;-;-;35
"130420 Tefé";13;22;36;19;2;-;92
"130423 Tonantins";5;9;10;9;-;-;33
"130426 Uarini";2;8;5;5;-;-;20
"130430 Urucará";4;13;9;6;-;7;39
"130440 Urucurituba";8;11;6;7;-;-;32
"140005 Alto Alegre";-;15;4;7;-;-;26
"140010 Boa Vista";217;511;137;36;34;-;935
"140015 Bonfim";-;11;2;1;-;-;14
"140020 Caracaraí";8;11;3;2;-;-;24
"140023 Caroebe";-;10;2;4;-;-;16
"140028 Iracema";-;1;-;-;-;-;1
"140030 Mucajaí";-;16;5;1;-;-;22
"140040 Normandia";-;11;4;5;-;-;20
"140045 Pacaraima";-;5;3;5;-;-;13
"140047 Rorainópolis";10;9;5;4;2;-;30
"140050 São João da Baliza";-;9;2;4;-;-;15
"140060 São Luiz";-;10;3;4;-;-;17
"150010 Abaetetuba";73;81;34;36;-;-;224
"150013 Abel Figueiredo";2;10;4;4;1;-;21
"150020 Acará";5;12;10;6;-;-;33
"150030 Afuá";4;10;6;10;-;-;30
"150034 Água Azul do Norte";8;18;7;7;-;-;40
"150040 Alenquer";21;38;21;17;-;-;97
"150050 Almeirim";21;31;20;19;-;3;94
"150060 Altamira";56;119;37;38;1;-;251
"150070 Anajás";2;9;4;5;-;-;20
"150080 Ananindeua";298;291;111;153;-;-;853
"150085 Anapu";7;9;10;9;-;-;35
"150090 Augusto Corrêa";10;55;4;16;1;-;86
"150095 Aurora do Pará";21;14;8;15;-;-;58
"150110 Bagre";2;6;4;3;-;-;15
"150120 Baião";6;11;8;5;-;-;30
"150125 Bannach";-;6;1;3;-;-;10
"150130 Barcarena";22;48;50;25;-;-;145
"150140 Belém";1120;1238;416;513;107;78;3472
"150145 Belterra";1;9;3;7;-;-;20
"150157 Bom Jesus do Tocantins";6;12;7;6;-;-;31
"150170 Bragança";57;158;62;67;-;-;344
"150172 Brasil Novo";4;14;9;6;-;-;33
"150175 Brejo Grande do Araguaia";5;10;3;6;-;-;24
"150178 Breu Branco";10;16;7;9;2;-;44
"150180 Breves";53;35;23;29;-;-;140
"150190 Bujaru";11;19;2;11;-;-;43
"150200 Cachoeira do Arari";2;8;6;4;-;-;20
"150210 Cametá";42;51;42;48;-;-;183
"150215 Canaã dos Carajás";22;24;17;9;-;1;73
"150220 Capanema";83;79;54;62;-;-;278
"150230 Capitão Poço";25;67;30;24;-;-;146
"150240 Castanhal";123;131;69;65;5;9;402
"150250 Chaves";-;3;4;2;-;-;9
"150260 Colares";-;4;2;2;-;-;8
"150270 Conceição do Araguaia";43;32;26;16;-;2;119
"150275 Concórdia do Pará";3;12;4;6;-;-;25
"150276 Cumaru do Norte";2;5;2;2;-;-;11
"150277 Curionópolis";6;18;13;13;-;-;50
"150280 Curralinho";5;6;5;10;-;-;26
"150290 Curuçá";5;10;6;6;-;-;27
"150293 Dom Eliseu";17;39;11;14;-;-;81
"150295 Eldorado do Carajás";8;16;11;6;-;-;41
"150300 Faro";1;4;2;3;-;-;10
"150304 Floresta do Araguaia";2;10;4;3;1;-;20
"150307 Garrafão do Norte";4;4;4;3;-;5;20
"150309 Goianésia do Pará";2;8;7;7;-;-;24
"150310 Gurupá";1;12;4;6;-;-;23
"150320 Igarapé-Açu";10;14;9;12;-;-;45
"150330 Igarapé-Miri";35;60;11;27;-;-;133
"150340 Inhangapi";-;8;7;4;-;-;19
"150345 Ipixuna do Pará";33;24;7;10;-;2;76
"150350 Irituia";-;16;6;8;-;-;30
"150360 Itaituba";71;109;159;67;7;-;413
"150370 Itupiranga";13;17;12;11;-;-;53
"150375 Jacareacanga";4;8;5;7;-;-;24
"150380 Jacundá";55;52;26;30;2;-;165
"150390 Juruti";19;22;8;6;2;-;57
"150400 Limoeiro do Ajuru";3;8;3;6;-;-;20
"150405 Mãe do Rio";4;26;8;14;-;-;52
"150420 Marabá";129;85;51;47;-;-;312
"150430 Maracanã";6;9;8;4;-;-;27
"150440 Marapanim";-;10;4;4;-;-;18
"150442 Marituba";28;78;20;38;-;-;164
"150445 Medicilândia";9;16;8;8;-;-;41
"150450 Melgaço";4;4;4;3;-;-;15
"150460 Mocajuba";4;8;7;8;-;-;27
"150470 Moju";7;20;12;11;-;-;50
"150480 Monte Alegre";14;34;18;19;-;-;85
"150490 Muaná";7;8;5;6;-;-;26
"150495 Nova Esperança do Piriá";5;14;8;5;-;-;32
"150497 Nova Ipixuna";-;7;2;4;-;-;13
"150503 Novo Progresso";9;15;8;8;2;-;42
"150506 Novo Repartimento";10;16;16;12;-;-;54
"150510 Óbidos";12;25;12;16;-;-;65
"150520 Oeiras do Pará";4;4;4;3;-;-;15
"150530 Oriximiná";27;19;22;21;-;-;89
"150540 Ourém";6;7;6;5;-;-;24
"150543 Ourilândia do Norte";20;23;11;13;-;-;67
"150548 Pacajá";5;18;7;7;-;-;37
"150549 Palestina do Pará";3;8;3;6;-;-;20
"150550 Paragominas";66;54;32;24;-;-;176
"150553 Parauapebas";115;67;74;48;1;-;305
"150555 Pau D'Arco";4;8;4;6;-;-;22
"150563 Piçarra";-;13;4;3;-;-;20
"150565 Placas";3;11;7;7;1;-;29
"150570 Ponta de Pedras";1;13;2;4;-;-;20
"150580 Portel";4;11;8;6;-;-;29
"150590 Porto de Moz";7;17;13;11;1;-;49
"150600 Prainha";2;8;4;5;1;-;20
"150613 Redenção";86;92;43;51;2;4;278
"150616 Rio Maria";10;23;17;4;-;-;54
"150618 Rondon do Pará";15;39;25;22;-;-;101
"150619 Rurópolis";3;12;6;6;-;-;27
"150620 Salinópolis";14;12;14;7;-;-;47
"150630 Salvaterra";3;7;5;4;-;-;19
"150640 Santa Cruz do Arari";1;4;6;4;-;-;15
"150650 Santa Izabel do Pará";10;10;20;20;-;-;60
"150655 Santa Luzia do Pará";-;8;4;4;-;-;16
"150658 Santa Maria das Barreiras";5;10;5;3;-;-;23
"150660 Santa Maria do Pará";7;15;7;8;-;-;37
"150670 Santana do Araguaia";10;25;16;12;-;-;63
"150680 Santarém";159;112;98;93;5;4;471
"150700 Santo Antônio do Tauá";10;43;8;15;-;-;76
"150710 São Caetano de Odivelas";4;5;6;5;-;-;20
"150715 São Domingos do Araguaia";4;9;4;4;-;-;21
"150720 São Domingos do Capim";5;12;6;8;-;-;31
"150730 São Félix do Xingu";28;58;31;22;6;-;145
"150745 São Geraldo do Araguaia";8;17;8;8;-;-;41
"150747 São João de Pirabas";2;11;7;4;-;-;24
"150750 São João do Araguaia";2;8;6;3;-;-;19
"150760 São Miguel do Guamá";10;24;8;12;-;-;54
"150770 São Sebastião da Boa Vista";1;17;7;7;-;-;32
"150775 Sapucaia";2;5;1;3;-;-;11
"150780 Senador José Porfírio";4;6;3;2;-;-;15
"150790 Soure";9;23;6;10;-;-;48
"150795 Tailândia";8;10;12;10;-;-;40
"150797 Terra Santa";2;7;8;4;-;-;21
"150800 Tomé-Açu";27;68;43;33;-;-;171
"150803 Tracuateua";4;4;4;3;-;-;15
"150805 Trairão";4;5;7;4;1;-;21
"150808 Tucumã";21;33;22;20;3;-;99
"150810 Tucuruí";86;84;51;52;13;-;286
"150812 Ulianópolis";12;44;11;22;-;-;89
"150815 Uruará";6;31;12;11;1;-;61
"150820 Vigia";7;15;7;6;-;-;35
"150830 Viseu";8;24;12;21;-;-;65
"150835 Vitória do Xingu";8;15;4;4;-;-;31
"150840 Xinguara";17;84;15;15;2;-;133
"160010 Amapá";-;20;6;11;-;-;37
"160020 Calçoene";1;10;4;5;-;-;20
"160023 Ferreira Gomes";-;6;3;3;-;-;12
"160027 Laranjal do Jari";14;19;13;12;-;-;58
"160030 Macapá";186;223;132;154;21;-;716
"160040 Mazagão";-;6;3;5;-;-;14
"160050 Oiapoque";5;15;11;10;-;-;41
"160015 Pedra Branca do Amapari";-;8;2;5;-;-;15
"160053 Porto Grande";5;19;4;6;-;-;34
"160060 Santana";8;33;22;32;-;-;95
"160005 Serra do Navio";-;16;4;10;-;-;30
"160070 Tartarugalzinho";-;10;3;5;-;-;18
"160080 Vitória do Jari";-;5;1;2;-;-;8
"170070 Alvorada";7;8;3;5;-;-;23
"170100 Ananás";4;1;4;5;-;-;14
"170190 Araguacema";3;7;4;3;-;-;17
"170200 Araguaçu";6;10;4;7;-;-;27
"170210 Araguaína";193;214;103;70;3;6;589
"170220 Araguatins";2;9;5;9;-;-;25
"170230 Arapoema";12;8;4;4;-;-;28
"170240 Arraias";10;10;7;6;-;-;33
"170255 Augustinópolis";33;21;21;18;-;-;93
"170370 Brejinho de Nazaré";-;2;2;1;-;-;5
"170550 Colinas do Tocantins";15;15;15;12;12;-;69
"171670 Colméia";2;10;4;5;-;-;21
"170610 Cristalândia";2;1;2;2;-;-;7
"170700 Dianópolis";12;13;7;7;-;-;39
"170710 Divinópolis do Tocantins";4;11;-;-;-;-;15
"170720 Dois Irmãos do Tocantins";-;9;-;-;-;-;9
"170730 Dueré";3;3;5;1;-;-;12
"170765 Figueirópolis";-;1;3;1;-;-;5
"170820 Formoso do Araguaia";8;15;10;5;2;-;40
"170900 Goiatins";2;5;2;1;-;-;10
"170930 Guaraí";17;12;15;13;-;-;57
"170950 Gurupi";65;102;25;33;12;-;237
"171050 Itacajá";3;9;10;5;-;-;27
"171190 Lagoa da Confusão";-;16;7;7;-;-;30
"171320 Miracema do Tocantins";21;16;15;17;-;-;69
"171330 Miranorte";4;11;5;-;-;-;20
"171360 Monte do Carmo";1;2;1;1;-;-;5
"171420 Natividade";1;2;4;2;-;-;9
"172100 Palmas";487;303;78;61;19;8;956
"171575 Palmeirópolis";-;14;3;7;-;-;24
"171610 Paraíso do Tocantins";39;40;25;23;4;-;131
"171620 Paranã";3;13;4;4;-;-;24
"171650 Pedro Afonso";12;9;7;3;-;-;31
"171660 Peixe";6;19;9;6;-;6;46
"171700 Pindorama do Tocantins";-;2;3;1;-;-;6
"171750 Pium";2;1;1;1;-;-;5
"171790 Ponte Alta do Tocantins";-;3;2;2;-;-;7
"171820 Porto Nacional";56;70;14;26;7;-;173
"172065 Silvanópolis";-;14;5;-;-;-;19
"172090 Taguatinga";6;19;12;10;-;-;47
"172120 Tocantinópolis";4;14;7;11;4;-;40
"172210 Xambioá";7;7;8;6;-;-;28
"210005 Açailândia";73;68;62;22;18;-;243
"210010 Afonso Cunha";1;12;3;4;-;-;20
"210020 Alcântara";6;8;5;5;-;-;24
"210030 Aldeias Altas";8;8;5;4;-;-;25
"210043 Alto Alegre do Maranhão";2;24;12;10;-;-;48
"210047 Alto Alegre do Pindaré";5;18;5;6;-;-;34
"210050 Alto Parnaíba";-;22;-;-;-;-;22
"210055 Amapá do Maranhão";-;8;3;-;-;-;11
"210060 Amarante do Maranhão";12;33;15;14;11;-;85
"210070 Anajatuba";2;12;6;5;2;-;27
"210080 Anapurus";2;5;4;5;-;-;16
"210083 Apicum-Açu";2;6;3;4;-;-;15
"210087 Araguanã";4;7;3;3;-;-;17
"210090 Araioses";20;55;19;23;-;-;117
"210095 Arame";11;19;9;19;-;-;58
"210100 Arari";10;13;11;14;-;-;48
"210110 Axixá";4;11;4;6;-;-;25
"210120 Bacabal";94;88;30;22;-;-;234
"210125 Bacabeira";2;14;6;6;-;-;28
"210130 Bacuri";3;12;3;5;-;-;23
"210140 Balsas";33;71;32;19;10;-;165
"210150 Barão de Grajaú";6;8;5;12;-;-;31
"210160 Barra do Corda";47;46;31;29;-;-;153
"210170 Barreirinhas";22;20;6;4;-;-;52
"210177 Bela Vista do Maranhão";2;6;3;4;-;-;15
"210173 Belágua";-;8;-;4;-;-;12
"210180 Benedito Leite";-;9;5;6;-;-;20
"210190 Bequimão";4;7;3;4;-;-;18
"210193 Bernardo do Mearim";3;6;3;3;-;-;15
"210197 Boa Vista do Gurupi";2;7;3;3;-;-;15
"210200 Bom Jardim";7;11;8;8;2;-;36
"210203 Bom Jesus das Selvas";3;9;7;6;-;-;25
"210210 Brejo";6;14;9;8;-;-;37
"210220 Buriti";4;10;2;10;-;-;26
"210230 Buriti Bravo";4;27;4;9;-;-;44
"210232 Buriticupu";24;14;28;14;4;-;84
"210240 Cajapió";1;10;5;3;-;-;19
"210250 Cajari";5;7;5;3;-;-;20
"210255 Campestre do Maranhão";1;15;2;3;-;-;21
"210260 Cândido Mendes";2;4;2;2;-;-;10
"210270 Cantanhede";12;16;13;18;-;-;59
"210275 Capinzal do Norte";3;4;3;3;-;-;13
"210280 Carolina";4;7;8;11;-;-;30
"210290 Carutapera";9;17;6;6;-;-;38
"210300 Caxias";104;110;50;45;5;-;314
"210310 Cedral";7;4;1;3;-;-;15
"210312 Central do Maranhão";-;12;3;-;-;-;15
"210320 Chapadinha";62;45;23;27;-;-;157
"210325 Cidelândia";5;5;5;6;-;-;21
"210330 Codó";25;30;21;16;8;-;100
"210340 Coelho Neto";21;44;14;41;-;-;120
"210350 Colinas";14;40;18;18;-;-;90
"210355 Conceição do Lago-Açu";-;8;3;4;-;-;15
"210360 Coroatá";18;31;17;10;-;-;76
"210370 Cururupu";36;38;16;19;-;-;109
"210375 Davinópolis";-;7;3;4;-;-;14
"210380 Dom Pedro";11;9;6;3;-;-;29
"210390 Duque Bacelar";-;10;6;10;-;-;26
"210400 Esperantinópolis";8;16;10;10;-;-;44
"210405 Estreito";5;29;18;9;-;-;61
"210407 Feira Nova do Maranhão";5;3;9;3;-;-;20
"210408 Fernando Falcão";-;10;4;4;-;-;18
"210409 Formosa da Serra Negra";2;4;3;4;-;-;13
"210410 Fortaleza dos Nogueiras";6;8;9;8;-;-;31
"210420 Fortuna";2;6;5;4;-;-;17
"210440 Gonçalves Dias";4;10;8;7;-;-;29
"210450 Governador Archer";2;12;6;4;-;-;24
"210455 Governador Edison Lobão";-;16;-;7;-;-;23
"210460 Governador Eugênio Barros";5;11;8;6;-;-;30
"210462 Governador Luiz Rocha";3;7;5;5;-;-;20
"210465 Governador Newton Bello";4;8;3;3;1;-;19
"210467 Governador Nunes Freire";38;62;64;40;-;-;204
"210470 Graça Aranha";2;9;4;3;-;-;18
"210480 Grajaú";53;64;13;57;1;-;188
"210490 Guimarães";8;22;4;2;-;-;36
"210500 Humberto de Campos";6;9;8;7;-;-;30
"210510 Icatu";5;14;10;5;-;-;34
"210515 Igarapé do Meio";2;20;6;9;-;-;37
"210520 Igarapé Grande";2;20;6;9;-;-;37
"210530 Imperatriz";268;316;106;97;8;6;801
"210535 Itaipava do Grajaú";2;14;6;3;-;-;25
"210540 Itapecuru Mirim";2;10;47;10;-;-;69
"210542 Itinga do Maranhão";18;18;18;22;-;-;76
"210545 Jatobá";6;4;3;3;-;-;16
"210547 Jenipapo dos Vieiras";2;6;4;5;-;-;17
"210550 João Lisboa";19;22;6;13;2;-;62
"210560 Joselândia";3;10;6;3;-;-;22
"210565 Junco do Maranhão";-;3;-;-;-;-;3
"210570 Lago da Pedra";23;43;47;31;-;-;144
"210580 Lago do Junco";4;8;4;4;-;-;20
"210594 Lago dos Rodrigues";6;6;4;4;-;-;20
"210590 Lago Verde";6;18;10;11;-;-;45
"210592 Lagoa do Mato";-;12;5;5;-;-;22
"210596 Lagoa Grande do Maranhão";2;10;3;4;-;-;19
"210600 Lima Campos";10;13;10;5;-;-;38
"210610 Loreto";2;9;4;5;-;-;20
"210620 Luís Domingues";-;8;1;-;-;-;9
"210630 Magalhães de Almeida";6;8;3;3;-;-;20
"210632 Maracaçumé";-;8;3;-;-;-;11
"210637 Maranhãozinho";-;12;3;3;-;-;18
"210640 Mata Roma";4;8;5;6;-;-;23
"210650 Matinha";5;6;3;3;-;-;17
"210660 Matões";7;28;8;7;-;-;50
"210667 Milagres do Maranhão";1;3;2;3;-;-;9
"210670 Mirador";4;10;3;3;-;-;20
"210675 Miranda do Norte";12;23;10;7;-;-;52
"210680 Mirinzal";2;12;5;3;-;-;22
"210690 Monção";20;14;8;10;-;-;52
"210700 Montes Altos";-;15;-;9;-;-;24
"210710 Morros";6;8;3;3;-;-;20
"210720 Nina Rodrigues";-;5;5;5;-;-;15
"210725 Nova Colinas";-;6;4;4;-;-;14
"210730 Nova Iorque";-;8;3;4;-;-;15
"210735 Nova Olinda do Maranhão";3;18;6;10;-;-;37
"210740 Olho d'Água das Cunhãs";7;6;3;4;-;-;20
"210745 Olinda Nova do Maranhão";8;24;8;10;-;-;50
"210750 Paço do Lumiar";-;11;-;6;-;-;17
"210760 Palmeirândia";7;14;10;7;-;-;38
"210770 Paraibano";8;27;6;7;-;-;48
"210780 Parnarama";9;22;12;8;-;-;51
"210790 Passagem Franca";18;61;15;17;5;-;116
"210800 Pastos Bons";4;7;5;7;-;-;23
"210805 Paulino Neves";6;6;4;4;-;-;20
"210810 Paulo Ramos";6;21;6;6;-;-;39
"210820 Pedreiras";19;44;23;24;4;-;114
"210825 Pedro do Rosário";4;14;9;7;-;-;34
"210830 Penalva";16;18;11;16;2;-;63
"210840 Peri Mirim";4;14;3;6;-;-;27
"210845 Peritoró";27;25;-;4;-;-;56
"210850 Pindaré-Mirim";10;17;6;6;1;-;40
"210860 Pinheiro";113;75;23;37;-;-;248
"210870 Pio XII";6;9;11;9;-;-;35
"210880 Pirapemas";6;6;3;4;-;-;19
"210890 Poção de Pedras";5;23;3;6;-;-;37
"210900 Porto Franco";18;32;16;13;-;-;79
"210905 Porto Rico do Maranhão";-;12;8;8;-;-;28
"210910 Presidente Dutra";86;64;26;14;4;-;194
"210920 Presidente Juscelino";-;8;3;4;-;-;15
"210927 Presidente Sarney";2;6;3;4;-;-;15
"210930 Presidente Vargas";-;9;5;8;-;-;22
"210940 Primeira Cruz";5;7;4;3;-;-;19
"210945 Raposa";-;5;4;4;16;19;48
"210950 Riachão";10;28;6;7;-;-;51
"210955 Ribamar Fiquene";-;15;-;5;-;-;20
"210960 Rosário";31;34;23;35;-;-;123
"210970 Sambaíba";-;8;4;5;-;-;17
"210975 Santa Filomena do Maranhão";-;10;2;5;-;-;17
"210980 Santa Helena";11;16;6;23;2;-;58
"210990 Santa Inês";109;90;27;59;10;-;295
"211000 Santa Luzia";11;34;17;24;-;-;86
"211003 Santa Luzia do Paruá";13;37;14;14;-;-;78
"211010 Santa Quitéria do Maranhão";6;21;8;7;-;-;42
"211020 Santa Rita";8;15;5;5;2;-;35
"211023 Santana do Maranhão";2;8;3;3;-;-;16
"211027 Santo Amaro do Maranhão";1;10;5;4;-;-;20
"211030 Santo Antônio dos Lopes";7;12;6;5;-;-;30
"211040 São Benedito do Rio Preto";8;12;6;6;-;-;32
"211050 São Bento";11;17;11;7;4;-;50
"211060 São Bernardo";4;8;12;3;-;-;27
"211065 São Domingos do Azeitão";3;8;4;5;-;-;20
"211070 São Domingos do Maranhão";9;15;4;7;-;-;35
"211080 São Félix de Balsas";6;5;3;6;-;-;20
"211085 São Francisco do Brejão";3;9;4;8;-;-;24
"211090 São Francisco do Maranhão";3;12;2;6;-;-;23
"211100 São João Batista";10;15;15;10;-;-;50
"211102 São João do Carú";4;17;5;9;-;-;35
"211105 São João do Paraíso";4;8;4;4;-;-;20
"211107 São João do Soter";4;5;6;4;-;-;19
"211110 São João dos Patos";3;25;5;10;11;-;54
"211120 São José de Ribamar";35;59;38;11;34;-;177
"211125 São José dos Basílios";3;5;2;3;-;-;13
"211130 São Luís";991;1107;384;424;653;182;3741
"211140 São Luís Gonzaga do Maranhão";6;7;7;9;-;-;29
"211150 São Mateus do Maranhão";-;32;5;11;4;-;52
"211153 São Pedro da Água Branca";6;8;6;6;-;-;26
"211157 São Pedro dos Crentes";2;9;3;4;-;-;18
"211160 São Raimundo das Mangabeiras";3;25;4;5;-;-;37
"211163 São Raimundo do Doca Bezerra";-;9;3;-;-;-;12
"211170 São Vicente Ferrer";9;25;6;10;6;-;56
"211172 Satubinha";6;16;6;-;-;-;28
"211174 Senador Alexandre Costa";2;23;5;5;-;-;35
"211180 Sítio Novo";8;11;7;4;-;-;30
"211190 Sucupira do Norte";3;12;5;4;-;-;24
"211195 Sucupira do Riachão";6;4;3;3;-;-;16
"211200 Tasso Fragoso";4;5;3;4;-;-;16
"211210 Timbiras";14;16;8;10;-;-;48
"211220 Timon";20;58;20;30;-;-;128
"211223 Trizidela do Vale";7;10;5;7;-;-;29
"211227 Tufilândia";1;12;3;3;-;-;19
"211230 Tuntum";13;15;11;11;-;-;50
"211240 Turiaçu";12;33;7;-;-;-;52
"211250 Tutóia";6;14;21;11;-;-;52
"211260 Urbano Santos";4;15;11;7;-;-;37
"211270 Vargem Grande";4;22;8;8;-;-;42
"211280 Viana";12;11;30;20;1;-;74
"211285 Vila Nova dos Martírios";-;9;6;6;-;-;21
"211290 Vitória do Mearim";5;20;11;10;-;-;46
"211300 Vitorino Freire";5;21;16;6;-;-;48
"211400 Zé Doca";10;20;10;11;-;-;51
"220010 Agricolândia";-;8;-;7;-;-;15
"220020 Água Branca";1;10;4;4;1;-;20
"220025 Alagoinha do Piauí";-;3;3;6;-;-;12
"220030 Alto Longá";-;9;-;5;-;-;14
"220040 Altos";2;23;4;8;-;-;37
"220050 Amarante";6;27;3;7;2;-;45
"220060 Angical do Piauí";-;6;-;5;-;-;11
