CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Município e Especialidade
Período:Fev/2020
"Município";"Cirúrgicos";"Clínicos";"Obstétrico";"Pediátrico";"Outras Especialidades";"Hospital/DIA";"Total"
"521950 Santa Rosa de Goiás";3;7;2;4;-;-;16
"521960 Santa Tereza de Goiás";2;9;2;4;-;-;17
"521970 Santa Terezinha de Goiás";3;14;12;9;-;-;38
"521973 Santo Antônio de Goiás";4;9;2;4;-;-;19
"521975 Santo Antônio do Descoberto";-;54;6;8;100;-;168
"521980 São Domingos";2;8;4;8;-;-;22
"522000 São João d'Aliança";-;16;5;5;-;-;26
"522010 São Luís de Montes Belos";30;41;10;14;2;-;97
"522015 São Luíz do Norte";-;7;-;3;-;-;10
"522020 São Miguel do Araguaia";23;30;23;19;-;-;95
